GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000076382	-1.3453234	-0.0886440
ENSG00000076554	-1.8616836	-0.4184285
ENSG00000076641	3.9065188	6.5292581
ENSG00000076716	-1.0871084	-1.3588856
ENSG00000076770	-0.0776343	-0.0970429
ENSG00000076826	-1.6319984	-1.0878369
ENSG00000077147	-0.0776343	-0.0970429
ENSG00000077152	1.3115090	3.3376454
ENSG00000077327	-1.3860797	0.0000000
ENSG00000077380	-0.0776343	-0.0970429
ENSG00000077713	-0.0776343	-0.0970429
ENSG00000077721	-0.0776343	-0.0970429
ENSG00000077782	1.4401639	3.4959366
ENSG00000077800	-1.3860797	0.0000000
ENSG00000077942	0.5180120	2.2078156
ENSG00000078081	-1.7166484	-0.8620018
ENSG00000078098	-0.8343311	0.6919446
ENSG00000078114	-2.0158497	-0.5822577
ENSG00000078295	-0.2060272	-0.2575340
ENSG00000078319	-0.2060272	-0.2575340
ENSG00000078399	-1.3256072	0.0330316
ENSG00000078487	-1.8711489	-0.4270529
ENSG00000078668	-0.0776343	-0.0970429
ENSG00000078747	-0.0776343	-0.0970429
ENSG00000078795	-2.3477414	-0.7321743
ENSG00000078814	-2.0435002	-1.0589193
ENSG00000078900	-1.7913563	-0.8193914
ENSG00000079215	-1.1511929	-1.4389911
ENSG00000079246	-0.0776343	-0.0970429
ENSG00000079263	-1.7520721	-0.8046525
ENSG00000079332	-0.0776343	-0.0970429
ENSG00000079337	-3.2396648	-2.5462752
ENSG00000079387	-0.0776343	-0.0970429
ENSG00000079435	-1.3860797	0.0000000
ENSG00000079482	-1.9060174	-2.3825218
ENSG00000079691	-0.2060272	-0.2575340
ENSG00000079785	-0.0776343	-0.0970429
ENSG00000079931	-1.7678109	-2.2097636
ENSG00000079950	1.1510739	3.1400152
ENSG00000080345	0.1871676	1.7877198
ENSG00000080709	-1.1583791	-1.4479739
ENSG00000080815	-0.0776343	-0.0970429
ENSG00000080824	-0.0776343	-0.0970429
ENSG00000080839	0.0413084	1.6147262
ENSG00000080947	-4.4267275	-3.6750930
ENSG00000081019	1.3365118	3.3702403
ENSG00000081041	-1.2785134	0.1924092
ENSG00000081087	1.1026990	3.0803762
ENSG00000081154	-0.0776343	-0.0970429
ENSG00000081181	1.2295572	3.2374075
ENSG00000081237	-1.6496178	-1.2262474
ENSG00000081277	-3.4336022	-4.2920028
ENSG00000081479	-6.9278596	-6.7688169
ENSG00000081665	-1.8488894	-0.4168098
ENSG00000081803	-0.2060272	-0.2575340
ENSG00000082068	-3.7260289	-2.6584525
ENSG00000082074	-1.3168118	-1.6460147
ENSG00000082126	-1.9254010	-0.8655341
ENSG00000082146	1.0363922	2.9985949
ENSG00000082153	1.1926967	3.1913120
ENSG00000082196	-3.4551216	-4.3189020
ENSG00000082212	1.0806707	3.0532857
ENSG00000082293	-0.2060272	-0.2575340
ENSG00000082458	1.2934381	3.3173034
